ERROR 2025-05-14 10:57:54,116 activity 27656 25364 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/activity/'}
ERROR 2025-05-14 11:04:12,852 activity 27656 19576 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 11:04:12,900 activity 27656 36108 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 11:04:12,918 activity 27656 23196 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/activity/'}
ERROR 2025-05-14 11:04:16,968 activity 27656 21752 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 11:04:16,989 activity 27656 25936 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 11:04:23,948 activity 27656 5268 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 11:04:23,967 activity 27656 30440 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 11:04:23,985 activity 27656 21860 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/activity/'}
ERROR 2025-05-14 11:04:36,426 activity 27656 10692 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
